GPCR ID,GPCR name,Peptide,log EC50 (M),95% Confidence Interval,EC50 (M),,,,
F13D2.2-1,GNRR-6-1,NLP-23-2,-8.218,-8.302 to -8.134,6.048E-09,,,,
F21C10.12-1,FRPR-6-1,FLP-33-1,-6.995,-7.078 to -6.912,1.012E-07,,,,
F21C10.12-1,FRPR-6-1,FLP-33-2,-6.702,-6.786 to -6.619,1.985E-07,,,,
F39B3.2-1,FRPR-7-1,FLP-1-1,-7.379,-7.476 to -7.283,4.174E-08,,,,
F39B3.2-1,FRPR-7-1,FLP-1-10,-8.042,-8.189 to -7.895,9.071E-09,,,,
F39B3.2-1,FRPR-7-1,FLP-1-2,-7.295,-7.386 to -7.205,5.067E-08,,,,
F39B3.2-1,FRPR-7-1,FLP-1-3,-7.583,-7.677 to -7.489,2.613E-08,,,,
F39B3.2-1,FRPR-7-1,FLP-1-4,-7.555,-7.675 to -7.434,2.789E-08,,,,
F39B3.2-1,FRPR-7-1,FLP-1-5,-7.327,-7.440 to -7.213,4.714E-08,,,,
F39B3.2-1,FRPR-7-1,FLP-1-6,-6.709,-6.811 to -6.607,1.956E-07,,,,
F39B3.2-1,FRPR-7-1,FLP-1-7,-6.548,-6.674 to -6.422,2.832E-07,,,,
F39B3.2-2,FRPR-7-2,FLP-1-1,-7.416,-7.584 to -7.247,3.839E-08,,,,
F39B3.2-2,FRPR-7-2,FLP-1-10,-8.140,-8.328 to -7.951,7.253E-09,,,,
F39B3.2-2,FRPR-7-2,FLP-1-2,-7.132,-7.240 to -7.025,7.371E-08,,,,
F39B3.2-2,FRPR-7-2,FLP-1-3,-7.393,-7.562 to -7.224,4.046E-08,,,,
F39B3.2-2,FRPR-7-2,FLP-1-4,-7.518,-7.651 to -7.385,3.033E-08,,,,
F39B3.2-2,FRPR-7-2,FLP-1-5,-7.235,-7.389 to -7.082,5.819E-08,,,,
F39B3.2-2,FRPR-7-2,FLP-1-6,-6.589,-6.729 to -6.449,2.578E-07,,,,
F39B3.2-2,FRPR-7-2,FLP-1-7,-6.244,-6.373 to -6.115,5.698E-07,,,,
F41E7.3-1,NPR-6-1,FLP-26-2,-6.105,-6.186 to -6.024,7.856E-07,,,,
F42D1.3-1,SPRR-2-1,NLP-38-1,-8.203,-8.3 to -8.106,6.265E-09,,,,
F42D1.3-1,SPRR-2-1,NLP-38-2,-7.876,-7.928 to -7.825,1.329E-08,,,,
F42D1.3-1,SPRR-2-1,NLP-38-3,-7.812,-7.882 to -7.742,1.541E-08,,,,
F42D1.3-1,SPRR-2-1,NLP-38-4,-8.120,-8.184 to -8.056,7.589E-09,,,,
F42D1.3-1,SPRR-2-1,NLP-38-6,-7.690,-7.757 to -7.624,2.039E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-10-1,-6.358,-6.444 to -6.273,4.380E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-11-1,-6.803,-6.868 to -6.738,1.573E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-11-2,-7.206,-7.268 to -7.144,6.222E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-11-3,-5.968,-6.040 to -5.897,1.076E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-12-1,-7.612,-7.760 to -7.465,2.441E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-12-2,-7.542,-7.724 to -7.359,2.873E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-13-1,-6.457,-6.502 to -6.412,3.495E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-13-2,-5.560,-5.718 to -5.403,2.753E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-13-3,-6.533,-6.580 to -6.485,2.932E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-13-4,-5.599,-5.788 to -5.409,2.520E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-13-5,-7.551,-7.640 to -7.462,2.813E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-13-6,-5.712,-5.749 to -5.674,1.943E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-13-7,-5.878,-5.912 to -5.844,1.325E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-14-1,-6.409,-6.468 to -6.350,3.904E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-14-2,-6.606,-6.698 to -6.515,2.475E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-15-1,-5.614,-5.815 to -5.413,2.433E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-16-1,-6.442,-6.526 to -6.357,3.617E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-16-2,-6.710,-6.769 to -6.651,1.949E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-17-1,-6.814,-6.869 to -6.758,1.535E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-17-2,-6.300,-6.341 to -6.258,5.014E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-17-3,-7.550,-7.632 to -7.468,2.818E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-17-4,-6.468,-6.527 to -6.409,3.403E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-19-1,-5.930,-6.000 to -5.859,1.176E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-19-2,-6.296,-6.379 to -6.214,5.054E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-2-1,-5.622,-5.693 to -5.551,2.389E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-20-3,-5.939,-6.000 to -5.878,1.150E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-23-3,-6.099,-6.139 to -6.059,7.967E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-25-2,-12.880,-13.51 to -12.26,1.315E-13,,,,
F53A9.5-1,FRPR-8-1,FLP-28-1,-5.865,-6.036 to -5.694,1.364E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-32-1,-6.772,-6.856 to -6.687,1.692E-07,,,,
F53A9.5-1,FRPR-8-1,FLP-4-1,-7.360,-7.444 to -7.277,4.361E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-4-2,-7.092,-7.154 to -7.031,8.086E-08,,,,
F53A9.5-1,FRPR-8-1,FLP-6-2,-5.423,-5.503 to -5.343,3.775E-06,,,,
F53A9.5-1,FRPR-8-1,FLP-7-1,-5.691,-5.765 to -5.617,2.038E-06,,,,
